p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.27513298302123745,0.168,0.494,0,0,HSP90AB1
0,0.3071550897380395,0.141,0.439,0,0,ALCAM
0,0.29237688629058045,0.155,0.453,0,0,KRT18
0,0.3247312722771163,0.173,0.466,0,0,PERP
0,0.3382558127864126,0.149,0.439,0,0,MDK
0,0.35068205013642295,0.133,0.422,0,0,SKP1
0,0.3790364125594765,0.1,0.386,0,0,CLINT1
0,0.2698599009381297,0.146,0.429,0,0,CD9
0,0.30485711200554566,0.108,0.387,0,0,AKR1A1
0,0.32979520583491007,0.096,0.375,0,0,CTNNA1
0,0.33492058811589387,0.105,0.383,0,0,DSTN
0,0.36183202207034015,0.088,0.363,0,0,EIF4G2
0,0.2772423829541413,0.08,0.355,0,0,TAX1BP1
0,0.3060560185225958,0.14,0.408,0,0,S100A14
0,0.3985827435836635,0.111,0.378,0,0,NEBL
0,0.350211264898429,0.113,0.38,0,0,ANK3
0,0.32781833155958817,0.08,0.343,0,0,TM9SF2
0,0.25110799538634865,0.088,0.35,0,0,EPHX1
0,0.40975260339078456,0.084,0.346,0,0,CANX
0,0.3093260473495152,0.072,0.331,0,0,CAPN2
0,0.2772435615547699,0.069,0.327,0,0,HNRNPU
0,0.2806123359546493,0.078,0.334,0,0,CDC42
0,0.43687473437826996,0.076,0.332,0,0,ATP1A1
0,0.29476838209365797,0.08,0.336,0,0,GOLM1
0,0.33210870642282764,0.094,0.349,0,0,MAPK10
0,0.32153971776907664,0.074,0.329,0,0,KIF21A
0,0.2658712834685739,0.069,0.322,0,0,ABLIM1
0,0.2774673843640181,0.063,0.314,0,0,CTNND1
0,0.2875575864207802,0.07,0.32,0,0,VDAC1
0,0.39760164001097453,0.074,0.322,0,0,YWHAE
0,0.2715172698095061,0.061,0.309,0,0,BACE2
0,0.3238993963691372,0.064,0.31,0,0,TC2N
0,0.35592532556957845,0.1,0.346,0,0,CHST9
0,0.32255673702918,0.062,0.306,0,0,HDLBP
0,0.25115403910915535,0.051,0.294,0,0,EIF3A
0,0.2825848551214787,0.066,0.308,0,0,KIAA1217
0,0.386119749496711,0.076,0.318,0,0,RUNX1
0,0.43476121244252086,0.085,0.326,0,0,MECOM
0,0.2779502647091838,0.061,0.3,0,0,APP
0,0.3164353967195679,0.077,0.315,0,0,S100A13
0,0.38143350737500725,0.071,0.307,0,0,PDLIM1
0,0.33146942995664563,0.064,0.3,0,0,ASRGL1
0,0.35587736568460526,0.062,0.297,0,0,TMOD3
0,0.38401637810361255,0.065,0.299,0,0,PTK2
0,0.31284934231479844,0.06,0.293,0,0,SRP9
0,0.2559652314622556,0.068,0.3,0,0,STAT1
0,0.6470450119928677,0.077,0.309,0,0,TM9SF3
0,0.32142409143543316,0.058,0.288,0,0,PSD3
0,0.5301699834761953,0.071,0.301,0,0,VAPA
0,0.2813454110900824,0.049,0.278,0,0,SEC62
0,0.32847128391916813,0.065,0.294,0,0,PDE4D
0,0.35507949609107514,0.06,0.288,0,0,SAMD12
0,0.45268443968846217,0.087,0.314,0,0,CYB5A
0,0.3522955821606737,0.073,0.3,0,0,GSR
0,0.2566900798561309,0.048,0.274,0,0,AOPEP
0,0.2947754518979294,0.055,0.28,0,0,CMPK1
0,0.25115416854093653,0.052,0.277,0,0,SCP2
0,0.2538351290039831,0.051,0.276,0,0,HSPE1
0,0.3031021812052652,0.056,0.281,0,0,PTPRK
0,0.3548735525218675,0.056,0.281,0,0,ITGB1
0,0.42181213847506427,0.049,0.274,0,0,HECTD1
0,0.35672640004615097,0.064,0.289,0,0,PTGES3
0,0.4186303431595554,0.057,0.282,0,0,CCPG1
0,0.37680032399082375,0.062,0.287,0,0,MSI2
0,0.4451956604568278,0.061,0.286,0,0,CLTC
0,0.2713899695492864,0.052,0.276,0,0,STK24
0,0.37489834529708943,0.051,0.274,0,0,LIMA1
0,0.3723657131590017,0.047,0.267,0,0,DSP
0,0.27994504457848646,0.045,0.265,0,0,SCNN1A
0,0.3414954165248165,0.052,0.271,0,0,EIF2S2
0,0.2608127835351791,0.045,0.263,0,0,GSPT1
0,0.2554718542393508,0.055,0.273,0,0,SDC4
0,0.2682666774440233,0.042,0.26,0,0,NPEPPS
0,0.26885909429630617,0.048,0.264,0,0,NDUFA6
0,0.32021418855905037,0.048,0.263,0,0,STK39
0,0.3215847003348842,0.049,0.264,0,0,EHF
0,0.36010701464855166,0.047,0.261,0,0,KIAA1522
0,0.2645062494834002,0.04,0.253,0,0,DNAJC15
0,0.4071753728730204,0.044,0.256,0,0,ARFGEF1
0,0.2894836425122539,0.049,0.261,0,0,SLC31A1
0,0.28800557753871237,0.041,0.253,0,0,SLK
0,0.3175725154939619,0.047,0.258,0,0,MAGI3
0,0.35233634496637645,0.05,0.261,0,0,CDC42BPA
0,0.2678404338339714,0.047,0.258,0,0,KDELR1
0,0.46825487594809145,0.056,0.266,0,0,PIK3R3
0,0.33382826904612495,0.045,0.255,0,0,TRIP12
0,0.2509344346615886,0.048,0.258,0,0,AGAP1
0,0.4100798108438767,0.047,0.257,0,0,TRIM2
0,0.2925234790824548,0.047,0.257,0,0,TSPAN13
0,0.330626844081938,0.051,0.261,0,0,ASPH
0,0.37614842663546666,0.053,0.262,0,0,CHL1
0,0.4604465752552057,0.059,0.268,0,0,TMEM123
0,0.39318662650695535,0.047,0.255,0,0,RIOK3
0,0.3746992995471867,0.043,0.25,0,0,NUCKS1
0,0.3425724927859417,0.043,0.25,0,0,NPTN
0,0.2776360496268738,0.04,0.247,0,0,JUP
0,0.3877065347516049,0.054,0.26,0,0,AHCYL2
0,0.32786631826998736,0.046,0.252,0,0,B4GALT5
0,0.28312878619457904,0.042,0.248,0,0,NORAD
0,0.2997918682742265,0.037,0.242,0,0,SEC31A
0,0.3288432341021942,0.044,0.248,0,0,CASC4
0,0.4335402648435428,0.048,0.251,0,0,OAT
0,0.3319066279846904,0.044,0.247,0,0,RTN3
0,0.2985416393416952,0.047,0.25,0,0,EPS8
0,0.3192950996860929,0.039,0.242,0,0,CTTN
0,0.3031158944878392,0.039,0.242,0,0,DNAJC3
0,0.3574231060541839,0.052,0.254,0,0,AC093865.1
0,0.29660094353366684,0.044,0.246,0,0,IKZF2
0,0.4341225243441661,0.052,0.253,0,0,NFIA
0,0.32923849083106127,0.04,0.241,0,0,YBX3
0,0.4030191937093629,0.056,0.256,0,0,PLEKHS1
0,0.30814378170855516,0.041,0.241,0,0,MAL2
0,0.2619984141063932,0.038,0.238,0,0,PTBP3
0,0.3523484409536941,0.042,0.242,0,0,FBXO34
0,0.3504056938445298,0.054,0.253,0,0,NBEA
0,0.3586905514995387,0.039,0.238,0,0,RAB10
0,0.2598724230660814,0.042,0.241,0,0,EXOC4
0,0.3049516287621292,0.065,0.263,0,0,SLC6A14
0,0.26427220027750514,0.035,0.232,0,0,CUL3
0,0.3764590586167428,0.045,0.242,0,0,SH3D19
0,0.2843663986564773,0.045,0.242,0,0,TWF1
0,0.2752737268778873,0.044,0.241,0,0,IGF1R
0,0.3158339706930595,0.042,0.239,0,0,ACSL3
0,0.3796230580230685,0.04,0.237,0,0,EPB41L1
0,0.30314634569106796,0.04,0.236,0,0,ARID1B
0,0.32585185366523106,0.046,0.241,0,0,NR3C2
0,0.2622068258614003,0.042,0.237,0,0,KIF2A
0,0.27005885216421566,0.034,0.228,0,0,BAZ2B
0,0.3769088055228763,0.05,0.243,0,0,TFCP2L1
0,0.3558224057391181,0.038,0.231,0,0,CRYBG1
0,0.4038875652747212,0.041,0.233,0,0,ABCD3
0,0.2695460713501718,0.034,0.226,0,0,MRPL52
0,0.3239421422789819,0.062,0.254,0,0,H1F0
0,0.5622477894421127,0.066,0.257,0,0,UGT2A1
0,0.33315284439749426,0.043,0.234,0,0,ARHGEF28
0,0.391869497813095,0.039,0.23,0,0,FOXA1
0,0.2977280732434546,0.034,0.225,0,0,SMAD3
0,0.25482295598104354,0.041,0.231,0,0,MPC2
0,0.28030229253929106,0.032,0.222,0,0,IBTK
0,0.5275381359883278,0.046,0.236,0,0,MTUS1
0,0.281660250842823,0.042,0.231,0,0,LRP11
0,0.3369967242001519,0.055,0.243,0,0,CCDC80
0,0.2522070238369617,0.033,0.221,0,0,ZFAND5
0,0.2874231771899418,0.036,0.224,0,0,TACC2
0,0.2711425310649904,0.033,0.219,0,0,TMCO1
0,0.27652402536850257,0.037,0.223,0,0,HSPD1
0,0.25995996217804873,0.036,0.222,0,0,MYO5B
0,0.2902223278530638,0.042,0.226,0,0,PALLD
0,0.36406033475533156,0.04,0.224,0,0,DAP
0,0.3656484583908627,0.032,0.216,0,0,ATP8B1
0,0.3483169336389985,0.032,0.215,0,0,LMO4
0,0.2623648301666371,0.035,0.218,0,0,MBOAT2
0,0.31877747866318523,0.032,0.215,0,0,SEPTIN2
0,0.2836735537998768,0.029,0.211,0,0,ZNF326
0,0.3326413830200986,0.036,0.218,0,0,HDGF
0,0.4124233056195908,0.034,0.216,0,0,UGP2
0,0.4222805280003343,0.039,0.221,0,0,GFPT1
0,0.38744758869865853,0.036,0.218,0,0,AFF1
0,0.2814803170520028,0.033,0.215,0,0,MAP7
0,0.356111436867172,0.036,0.217,0,0,NOL7
0,0.35086768135707497,0.031,0.212,0,0,WASL
0,0.5184402314889037,0.045,0.226,0,0,AKR1C3
0,0.3232235193857388,0.044,0.225,0,0,SLC5A8
0,0.4925293328712478,0.038,0.218,0,0,NCKAP1
0,0.3434993969443523,0.033,0.213,0,0,ATP5MC1
0,0.3084298144687414,0.048,0.228,0,0,MACROD2
0,0.308996059497251,0.027,0.206,0,0,MAN1A2
0,0.2975694587556157,0.035,0.214,0,0,ADI1
0,0.35009042738034196,0.034,0.213,0,0,PNKD
0,0.25107492310343077,0.028,0.207,0,0,TNKS2
0,0.3068002415397245,0.043,0.222,0,0,PLCB4
0,0.3559542162587448,0.03,0.208,0,0,UAP1
0,0.26892468594420676,0.034,0.212,0,0,C4orf19
0,0.308603998187004,0.036,0.214,0,0,PTPN3
0,0.49663229252224417,0.041,0.219,0,0,NET1
0,0.28505021512785855,0.03,0.207,0,0,ACBD3
0,0.3595623004405089,0.031,0.208,0,0,PUM2
0,0.2821602988785413,0.03,0.207,0,0,PPM1G
